ID,Subset,Question,Translated Question,Options,Translated Options,Label,Category,Image Type,Image Source,License,image_path,tag,llava_agent_caption,clip_score,longclip_score,clip1_score,longclip1_score,cnr,c_number,completeness,cNumber_new_GPT_modified
5920593854272599305_1,"('Tamil', 'India')",படத்தில் எத்தனை சுவைகள் காணப்படுகின்றன?,How many flavors of the dessert are seen in the image?,['7' '3' '9' '5'],['7' '3' '9' '5'],-1,Cooking and food,External,"https://commons.wikimedia.org/wiki/File:Faluda_at_Juhu_Beach,_Mumbai.jpg",CC BY-SA 4.0,image_20.jpg,"beverage, bottle, bubble tea, case, color, container, cup, drink, fill, flavor, food, fruit, juice, liquid, milkshake, shake, showcase, straw, tray, umbrella","The image shows a table with six colorful drinks in plastic cups, catering to various tastes and preferences. The drinks in the store often use ingredients such as fruits, herbs, and spices that are commonly found in Romanian cuisine, reflecting the rich and diverse culinary traditions of the region. The packaging and labeling of the drinks often feature traditional Romanian symbols and designs, promoting the cultural identity of the products. The drinks have cultural significance and contribute to the local economy by supporting local farmers and suppliers, as well as promoting Romanian culture and traditions.",0.297119140625,0.235107421875,0.297119140625,0.26953125,0.0,0,0.15,22
5865925794273878684_2,"('Romanian', 'Romania')",Din ce material sunt făcute bluzele din imagine?,What material are the blouses in the picture made of?,['bumbac' 'mătase' 'lână' 'in'],['cotton' 'silk' 'wool' 'linen'],-1,Traditions / art / history,Self,Self-open,CC BY-SA,image_26.jpg,"case, clothing, costume, display, dress, garment, mannequin, museum, showcase, wear","The image shows three mannequins wearing traditional clothing representing different cultures, including Indian and Chinese attire. The outfits worn by the mannequins reflect the customs and traditions of the respective cultures, showcasing the unique styles and designs associated with each culture. As a person from India, I can appreciate the intricate designs and vibrant colors of the Indian mannequin's attire, which reflects the importance of modesty and femininity in Indian culture. At the same time, I can also admire the simplicity and elegance of the Chinese mannequin's clothing, which reflects the emphasis on simplicity and elegance in Chinese culture. Overall, the image and the conversation provide a valuable opportunity to learn about and appreciate the richness and diversity of different cultures.",0.343017578125,0.282470703125,0.343017578125,0.29443359375,0.0,0,0.4,35
5865687724278338226_1,"('Bengali', 'India')",বাম পাশের লাল রঙের সব্জি টি কি?,What is the red coloured vegetable on the left side?,['আলু' 'আদা' 'পেঁয়াজ' 'রসুন'],['Potato' 'Ginger' 'Onion' 'Garlic'],-1,Cooking and food,Self,Self-open,CC BY-SA,image_38.jpg,"basket, lamp, floor, garlic, man, market, onion, potato, produce, vegetable","In the image, there is a person sitting on a blanket with a bowl of garlic and a basket of potatoes. The person is wearing a blue shirt. The conversation among the people from different countries is about the significance of garlic and potatoes in their cultures. Garlic is used in various cuisines for its medicinal properties and to enhance the flavor of dishes. In Romanian culture, garlic is believed to have medicinal properties and is often used to ward off evil spirits, while in Chinese culture, garlic is considered to have health benefits and is often used in cooking to enhance the flavor of dishes. Potatoes are also popular in both countries and are used in many traditional dishes. As a person from China, I can tell you that garlic and potatoes are both considered to be healthy and nutritious ingredients in our culture. Garlic is believed to have medicinal properties and is often used in traditional Chinese medicine to treat a variety of ailments. It is also a popular ingredient in many Chinese dishes, such as stir-fries, soups, and stews. As for potatoes, they are a staple food in many parts of China and are used in a variety of dishes, including potato soup, fried potatoes, and potato salad.",0.2890625,0.22412109375,0.2890625,0.2451171875,0.0,0,0.6,41
5865687724271272925_2,"('Bengali', 'India')",ডান পাশের সবুজ রঙের সব্জি টি কি?,What is the green coloured vegetable on the right?,['পেঁপে' 'কুমড়া' 'সবুজ আপেল' 'পেয়ারা'],['Papaya' 'Pumpkin' 'Green Apple' 'Guava'],-1,Cooking and food,Self,Self-open,CC BY-SA,image_43.jpg,"array, eggplant, avocado, bell pepper, carrot, courgette, daikon, floor, fruit, green, kitchen floor, lay, lime, onion, pepper, produce, squash, turnip, vegetable","The image showcases a variety of fruits and vegetables, including eggplant, carrots, and mushrooms, which are commonly used in different cuisines around the world. In the conversation, the participants discuss the traditional dishes from their respective cultures that use these ingredients. For example, India uses eggplant and carrots in various dishes like curries and stir-fries, while Romania uses eggplant in their traditional dish called ""mămăligă"". China also uses bamboo, cabbage, and mushrooms in their traditional dishes like kung pao chicken. The conversation highlights the diversity and richness of the world's culinary offerings and how different cultures have adopted and adapted these ingredients in their cuisine.",0.30078125,0.2156982421875,0.30078125,0.220703125,0.0,0,0.1052631578947368,27
5865925804275165806_1,"('Romanian', 'Romania')",In ce sărbători se manâncă această mâncare?,In what holidays is this food eaten?,['Anul nou' 'Sfânta Maria' 'Crăciun' 'Paște'],['New Year' 'Saint Mary' 'Christmas' 'Easter'],-1,Cooking and food,Self,Self-open,CC BY-SA,image_44.jpg,"bread, cheese, counter top, couple, table, food, gas stove, home appliance, kitchen counter, kitchenware, napkin, oven, pastry, pie, quiche, sit, stove, tablecloth, tray","The image features a red and white tablecloth with two loaves of bread, a pie, and a cake on it. The tablecloth is often used in India during celebrations and gatherings, such as weddings and baptisms. In Romania, the tablecloth is also used during special occasions and celebrations, and bread is a staple food typically served with meals. In China, the tablecloth is believed to bring balance and harmony to the dining experience, and bread is a staple food served with various dishes.",0.233642578125,0.239990234375,0.233642578125,0.26123046875,0.0,0,0.2105263157894736,24
5865910684273870573_0,"('Chinese', 'China')",这是什么建筑？,What kind of building is this?,['白金汉宫' '布达拉宫' '卢浮宫' '水晶宫'],['Buckingham Palace' 'Potala Palace' 'Louvre' 'Crystal palace'],-1,Geography / buildings / landmarks,External,https://www.flickr.com/photos/cnxjj/218533092/in/photolist-kj3gW-5jidCF-5jijCR-5jnD3m-5ji5De-5jnxTC-5jnwTu-5jntdd-5jinZv-5jnE9b-5jnriC-5ji4MV-5jnpBb-5jnuVf-5jnoNL-5jibDH-5jnsh7-5jnyHA-5jnzM5-5jipan-5jiiwi-bzzzP5-5ji89H-nK4N4Y-etnoVh-fqg8yB-6ZJ5pS-6ZE4HM-2jbE1uk-6ZJ5x9-2iUscC2-aCzKRa-aCzBHi-cWCqx9-cWBWuh-cWCrzm-cWCvmd-9VPA5n-cWBZGb-cWCsFy-cWBY3G-cWBC31-cWBXtL-cWCubb-cWCtyE-cWCwm5-cWCo5N-cWCxa7-cWBv13-6mWW68,Attribution-NoDerivs License,image_49.jpg,"monastery, blanket, building, hill, hillside, loom, mountain, palace, sky, snowy, white","The image shows a large white building with a red roof, which is a palace. The building is related to Indian culture as it is a symbol of royalty and power. The palace has a significant historical and cultural importance in the country it is located in. The architecture of the palace is heavily influenced by Gothic and Romanesque styles, which were prevalent in Europe during the Middle Ages. The palace is adorned with intricate frescoes and sculptures that depict religious scenes and figures, reflecting the cultural and religious values of the Indian people during that time. The red roof on the palace serves both a practical and symbolic purpose, symbolizing the protection and shelter that the building provides to its congregation and representing the passion and sacrifice of Christ. Overall, the palace serves as a testament to the cultural heritage and artistic traditions of India.",0.29345703125,0.1944580078125,0.29345703125,0.1966552734375,0.0,0,0.3636363636363636,38
5920593834278496132_1,"('Tamil', 'India')",இந்த நபர்கள் எந்த துறையில் வேலை செய்கிறார்கள்?,What industry do these individuals work in?,['பத்திரிகை' 'கொள்கை உருவாக்கம்' 'தொழில்நுட்பம்' 'சினிமா'],['Journalism' 'Policy Making' 'Technology' 'Cinema'],-1,Public Figure and pop culture,External,"https://commons.wikimedia.org/wiki/File:Rajinikanth,_Kamal_Haasan_and_Ilaiyaraaja_At_The_Nadigar_Sangam_Protest.jpg",CC BY-SA 3.0,image_54.jpg,"actor, event, person, launch, man, stand","In the image, a group of men is standing together, with one of them wearing a black shirt. The different agents from India, Romania, and China have provided their perspectives on the image and the culture related to the black shirt. In India, the black shirt could be associated with a cultural gathering or a social event. In Romania, the black shirt is often associated with mourning or a sign of respect for the deceased. In China, wearing a black shirt is also a symbol of mourning or to show respect during funerals. From this discussion, it can be inferred that the black shirt could have different cultural meanings and associations depending on the country and context.",0.2144775390625,0.2083740234375,0.2144775390625,0.2410888671875,0.0,0,0.8333333333333334,30
5865925804277230669_1,"('Romanian', 'Romania')",Ce reprezintă obiectele din imagine?,What do the objects in the image represent?,['cai' 'urși' 'capre' 'păpuși'],['horses' 'bears' 'goats' 'dolls'],-1,Traditions / art / history,Self,Self-open,CC BY-SA,image_56.jpg,"bag, bulletin board, cloth, display, floor, plaque, room, showcase","The, and and and and and and and and and and and and and and and The and The and and and and and and and and and and and and and and and The The The The The The The The The The and and the and the
 The and the
 The
 The
 The and the and the the the the the the the the the the the and the and and and and and and and and",0.1785888671875,0.1485595703125,0.1785888671875,0.1485595703125,0.0,0,0.0,0
5920593834276157822_0,"('Tamil', 'India')",படத்தில் காட்டப்பட்டுள்ள மும்முனைப் பொருள் என்ன அழைக்கப்படுகிறது?,What is the three-way pointed thing shown in the image called?,['முக்கோணம்' 'குத்து' 'திரிசூலம்' 'அம்பு'],['Triangle' 'Dagger' 'Trident' 'Arrow'],-1,Traditions / art / history,Self,Self-open,CC BY-SA,image_58.jpg,"antler, campfire, trumpet, floor, grill, iron, pitchfork, pot, rake, sand, stick, tool","The image features a statue of a trident, a bowl, and a stick. The trident is a symbol of power and authority in Hinduism, while the bowl is a common household item in many cultures, including Romania and China. In Romanian culture, the trident is associated with the god of the sea, Neptune, and is often used as a symbol of protection and strength. The bowl is used in various religious practices and ceremonies, highlighting the importance of faith and tradition in Romanian society. The stick may be used for self-defense or as a tool for divination, depending on the context. Overall, the objects in the image reflect the values and beliefs of the societies they originate from by serving as symbols of spirituality, abundance, and cultural heritage.",0.265380859375,0.2069091796875,0.27392578125,0.240234375,0.0,0,0.25,32
5865910664277614074_1,"('Chinese', 'China')",图中的这个地标和什么事件有关？,Which event is this landmark related to?,['北京奥运会' '上海世博会' '深圳大运会' '香港赛马会'],"['Beijing Olympics' 'Shanghai Expo' 'Universiade Shenzhen'
 'Hong Kong Jockey Club ']",-1,Geography / buildings / landmarks,Self,Self-research_only,CC BY-NC,image_61.jpg,"building, pillar, sea, pole, tower, rail, red, rocket, sculpture, sky, tube","The image features a red pole with a spiral pattern on it, which has cultural significance in different countries. In India, the pole and flag are used during religious ceremonies and processions as a symbol of purity and divinity. In Romania, the white flag and pole suggest that the event or celebration may have cultural or religious importance. In China, the white flag holds cultural significance as it is often associated with purity, innocence, and elegance. The presence of the flag and pole contributes to the overall atmosphere of the event or celebration, creating a sense of cultural identity and shared history among the participants.",0.343017578125,0.228515625,0.343017578125,0.26708984375,0.0,0,0.2727272727272727,28
5920593854274960595_1,"('Tamil', 'India')",வண்டி என்ன சுமந்து செல்கிறது?,What is the cart carrying?,['புல்' 'சாக்குகள்' 'பயணிகள்' 'மரக்கட்டைகள்'],['Grass' 'Sacks' 'Passengers' 'Lumber'],-1,Vehicles and Transportation,External,https://commons.wikimedia.org/wiki/File:Kolhapur_(4166401087).jpg,CC BY 2.0,image_67.jpg,"attach, blanket, bull, car, coach, cart, cattle, city street, cow, donkey, draw, drive, horse cart, license plate, man, pull, road, street scene, wagon, white","The image shows a white ox pulling a cart down a street in India, with the ox wearing a harness and being guided by a man. The street is lined with various shops, and there are a few people walking around. The ox is a traditional breed used for pulling carts in India, and the cart has cultural significance. The use of the ox for transportation is an important aspect of the local community's culture and way of life, and it helps to maintain traditional practices and promotes a sense of community and connection to the land. From a person's perspective in China, the use of the ox for transportation in the image reflects the cultural values and beliefs of the local community, particularly their reliance on traditional and sustainable modes of transportation, and the importance of animals, particularly oxen, in rural life and agriculture.",0.366943359375,0.28076171875,0.366943359375,0.2978515625,0.0,0,0.35,31
5865910674271181211_1,"('Chinese', 'China')",这种艺术起源于哪个朝代？,In which dynasty did this art originate?,['汉朝' '唐朝' '明朝' '清朝'],['Han Dynasty' 'Tang Dynasty' 'Ming Dynasty' 'Qing Dynasty'],-1,Traditions / art / history,External,https://www.flickr.com/photos/univers-finder/20963063158/in/photolist-xWrbkq-7zR4WR-7zR5EM-7zURQ7-y5JygW-yeJuB2-64gTPt-6dYFhr-64ACoz-64kWtS-64kYuq-64BaVK-6e3SvA-y8Joav-86pDUA-7QLZqf-zrCXrX-86mjhP-86ptB5-7QLYbj-7QHFy8-86pFxE-86mipM-7QHGLv-ybHVZw-xh2kkG-xhamDg-64h3Bn-vomdPj-64Bbjw-64wUkR-64wWPt-64Bf89-64h1q2-64Bgmj-64gLT6-xJE7j7-xJDWnd-u4uaY2-86mwbg-z9bc3C-64F8cf-64BhBo-uHKwG3-z9ghkH-vugApy-u4jHHf-uY1Hsf-64m6xw-vsv7NE,Attribution-NonCommercial License,image_73.jpg,"act, actor, costume, dance, dancer, dress, festival, garment, headdress, person, instrument, man, perform, performance, traditional, woman","The image features a group of people dressed in traditional Chinese costumes and holding fans. These costumes and fans are made of silk and often feature intricate embroidery and patterns, reflecting the rich history and culture of China. The traditional elements add authenticity and cultural significance to Chinese theater and dance performances, transporting the audience to the time and place where the performance is set and providing a deeper understanding of the cultural context.",0.26416015625,0.2347412109375,0.26416015625,0.240966796875,0.0,0,0.375,27
