ID,Subset,Question,Translated Question,Options,Translated Options,Label,Category,Image Type,Image Source,License,img_path,tag,llava_agent_caption,clip_score,longclip_score,clip1_score,longclip1_score,cnr,c_number,completeness,cNumber_new_GPT_modified
5920593854272599305_1,"('Tamil', 'India')",படத்தில் எத்தனை சுவைகள் காணப்படுகின்றன?,How many flavors of the dessert are seen in the image?,['7' '3' '9' '5'],['7' '3' '9' '5'],-1,Cooking and food,External,"https://commons.wikimedia.org/wiki/File:Faluda_at_Juhu_Beach,_Mumbai.jpg",CC BY-SA 4.0,image_20.jpg,"beverage, bottle, bubble tea, case, color, container, cup, drink, fill, flavor, food, fruit, juice, liquid, milkshake, shake, showcase, straw, tray, umbrella","The image shows a table with a variety of colorful drinks in plastic cups. The drinks are likely related to Chinese culture as they are served in a bubble tea shop. The different flavors of the drinks represent Chinese culture, and the presentation of the drinks may also reflect Chinese traditions. The drinks cater to various tastes and preferences, and they may represent the diversity of the local community.",0.298095703125,0.260009765625,0.298095703125,0.276611328125,0.5476190476190477,23,0.15,21
5865925794273878684_2,"('Romanian', 'Romania')",Din ce material sunt făcute bluzele din imagine?,What material are the blouses in the picture made of?,['bumbac' 'mătase' 'lână' 'in'],['cotton' 'silk' 'wool' 'linen'],-1,Traditions / art / history,Self,Self-open,CC BY-SA,image_26.jpg,"case, clothing, costume, display, dress, garment, mannequin, museum, showcase, wear","The image features three mannequins dressed in traditional clothing representing different cultures. The outfits on the mannequins showcase the diversity and richness of the cultures they represent. The specific cultures cannot be confidently identified without more information. The outfits worn by the mannequins may be elaborate, reflecting the cultural heritage and customs of the respective cultures.",0.33984375,0.27978515625,0.33984375,0.297119140625,0.4358974358974359,17,0.2,18
5865687724278338226_1,"('Bengali', 'India')",বাম পাশের লাল রঙের সব্জি টি কি?,What is the red coloured vegetable on the left side?,['আলু' 'আদা' 'পেঁয়াজ' 'রসুন'],['Potato' 'Ginger' 'Onion' 'Garlic'],-1,Cooking and food,Self,Self-open,CC BY-SA,image_38.jpg,"basket, lamp, floor, garlic, man, market, onion, potato, produce, vegetable","In the image, there is a bowl of garlic and a basket of potatoes, with a person sitting on a blanket. Garlic and potatoes are used in various cuisines, including Indian, Romanian, and Chinese. They are often used in traditional dishes and have cultural significance.",0.284423828125,0.2305908203125,0.284423828125,0.257080078125,0.3333333333333333,11,0.4,11
5865687724271272925_2,"('Bengali', 'India')",ডান পাশের সবুজ রঙের সব্জি টি কি?,What is the green coloured vegetable on the right?,['পেঁপে' 'কুমড়া' 'সবুজ আপেল' 'পেয়ারা'],['Papaya' 'Pumpkin' 'Green Apple' 'Guava'],-1,Cooking and food,Self,Self-open,CC BY-SA,image_43.jpg,"array, eggplant, avocado, bell pepper, carrot, courgette, daikon, floor, fruit, green, kitchen floor, lay, lime, onion, pepper, produce, squash, turnip, vegetable","The image features a variety of fruits and vegetables, including bananas, apples, and carrots, as well as a potted plant. In the image, there are also people present. The fruits and vegetables in the image represent the diversity of the world's culinary offerings, while the potted plant could symbolize the importance of nature and greenery in different societies. Different cultures incorporate plants and greenery into their daily lives and traditions in various ways, such as through traditional dishes, religious ceremonies, and traditional medicine.",0.273681640625,0.1976318359375,0.273681640625,0.2169189453125,0.375,21,0.0526315789473684,21
5865925804275165806_1,"('Romanian', 'Romania')",In ce sărbători se manâncă această mâncare?,In what holidays is this food eaten?,['Anul nou' 'Sfânta Maria' 'Crăciun' 'Paște'],['New Year' 'Saint Mary' 'Christmas' 'Easter'],-1,Cooking and food,Self,Self-open,CC BY-SA,image_44.jpg,"bread, cheese, counter top, couple, table, food, gas stove, home appliance, kitchen counter, kitchenware, napkin, oven, pastry, pie, quiche, sit, stove, tablecloth, tray","The image features a table with two loaves of bread, a pie, and a cake. The table is covered with a red and white tablecloth. The presence of these food items suggests that the image might be related to a cultural celebration or gathering. In different cultures, bread is a staple food and is often served with various dipping sauces. The pie and cake differ in terms of flavor, texture, and presentation in various cultures. The red and white tablecloth holds cultural significance in different contexts, symbolizing unity and celebration. The food items on the table represent the culinary traditions of the region they originate from, showcasing the diversity and richness of the region's culture.",0.234375,0.2481689453125,0.232666015625,0.265380859375,0.4428571428571428,31,0.3684210526315789,33
5865910684273870573_0,"('Chinese', 'China')",这是什么建筑？,What kind of building is this?,['白金汉宫' '布达拉宫' '卢浮宫' '水晶宫'],['Buckingham Palace' 'Potala Palace' 'Louvre' 'Crystal palace'],-1,Geography / buildings / landmarks,External,https://www.flickr.com/photos/cnxjj/218533092/in/photolist-kj3gW-5jidCF-5jijCR-5jnD3m-5ji5De-5jnxTC-5jnwTu-5jntdd-5jinZv-5jnE9b-5jnriC-5ji4MV-5jnpBb-5jnuVf-5jnoNL-5jibDH-5jnsh7-5jnyHA-5jnzM5-5jipan-5jiiwi-bzzzP5-5ji89H-nK4N4Y-etnoVh-fqg8yB-6ZJ5pS-6ZE4HM-2jbE1uk-6ZJ5x9-2iUscC2-aCzKRa-aCzBHi-cWCqx9-cWBWuh-cWCrzm-cWCvmd-9VPA5n-cWBZGb-cWCsFy-cWBY3G-cWBC31-cWBXtL-cWCubb-cWCtyE-cWCwm5-cWCo5N-cWCxa7-cWBv13-6mWW68,Attribution-NoDerivs License,image_49.jpg,"monastery, blanket, building, hill, hillside, loom, mountain, palace, sky, snowy, white","The image features a large white building with a red roof, which is a palace. This building is related to Indian culture as it is a symbol of royalty and power. The architecture of the building reflects the cultural heritage of the region, and the stairs leading up to the building may serve both practical and symbolic purposes within the community. The building may play a central role in the local community, serving as a gathering place for events, ceremonies, or cultural celebrations, and it may also be a symbol of the region's cultural identity and heritage.",0.251953125,0.1851806640625,0.302978515625,0.185791015625,0.4166666666666667,25,0.3636363636363636,25
5920593834278496132_1,"('Tamil', 'India')",இந்த நபர்கள் எந்த துறையில் வேலை செய்கிறார்கள்?,What industry do these individuals work in?,['பத்திரிகை' 'கொள்கை உருவாக்கம்' 'தொழில்நுட்பம்' 'சினிமா'],['Journalism' 'Policy Making' 'Technology' 'Cinema'],-1,Public Figure and pop culture,External,"https://commons.wikimedia.org/wiki/File:Rajinikanth,_Kamal_Haasan_and_Ilaiyaraaja_At_The_Nadigar_Sangam_Protest.jpg",CC BY-SA 3.0,image_54.jpg,"actor, event, person, launch, man, stand","In the image, there are four men standing together, with two of them wearing black shirts. They appear to be of different ethnicities, which suggests that the image might be related to cultural diversity or multiculturalism. The men's clothing choices reflect their cultural backgrounds, but without more specific information, it is difficult to provide a more detailed answer. The image seems to be a representation of cultural diversity and multiculturalism, and the men's interactions with each other demonstrate cultural understanding and respect.",0.224365234375,0.217041015625,0.224365234375,0.255615234375,0.35,21,0.5,21
5865925804277230669_1,"('Romanian', 'Romania')",Ce reprezintă obiectele din imagine?,What do the objects in the image represent?,['cai' 'urși' 'capre' 'păpuși'],['horses' 'bears' 'goats' 'dolls'],-1,Traditions / art / history,Self,Self-open,CC BY-SA,image_56.jpg,"bag, bulletin board, cloth, display, floor, plaque, room, showcase","In the image, there is a white sheet, a picture, a doll, a statue, and a person wearing a white dress. The objects and people in the image represent different cultures. The white sheet could represent purity or innocence in some cultures. The picture in the image could represent the cultural heritage of the people in the scene in various ways, such as a family photo or a painting of a significant cultural or historical event. The doll in the image conveys cultural symbolism related to traditional Romanian clothing. The statue in the image represents the cultural background of China, possibly as a representation of a traditional Chinese deity or symbol. The person wearing a white dress reflects their cultural identity and heritage.",0.239501953125,0.19580078125,0.239501953125,0.1949462890625,0.46875,30,0.25,34
5920593834276157822_0,"('Tamil', 'India')",படத்தில் காட்டப்பட்டுள்ள மும்முனைப் பொருள் என்ன அழைக்கப்படுகிறது?,What is the three-way pointed thing shown in the image called?,['முக்கோணம்' 'குத்து' 'திரிசூலம்' 'அம்பு'],['Triangle' 'Dagger' 'Trident' 'Arrow'],-1,Traditions / art / history,Self,Self-open,CC BY-SA,image_58.jpg,"antler, campfire, trumpet, floor, grill, iron, pitchfork, pot, rake, sand, stick, tool","The image features a statue of a trident, a bowl, and a stick. The trident is a symbol of power and authority, often associated with the Hindu religion. The bowl could be used for various purposes, such as holding food or water, and is commonly found in many cultures. The stick might be a walking stick or a tool for self-defense, depending on the context.

In Hinduism, the trident is a symbol of Lord Shiva, who is associated with destruction and transformation. It is used in religious ceremonies and is often related to the Hindu deity Lord Shiva. The bowl is a common household item in many cultures and can be used for various purposes, such as holding food or water. The stick, on the other hand, is also a common item in many cultures and can be used as a walking stick or a tool for self-defense.

The objects in the image represent the diversity of cultural symbols and objects and serve as a reminder of the importance of preserving cultural heritage and traditions. They also challenge our assumptions about the universality of certain cultural symbols and practices and highlight the interconnectedness of different cultures and their shared beliefs and practices.",0.265380859375,0.233154296875,0.27392578125,0.240234375,0.4375,42,0.3333333333333333,41
5865910664277614074_1,"('Chinese', 'China')",图中的这个地标和什么事件有关？,Which event is this landmark related to?,['北京奥运会' '上海世博会' '深圳大运会' '香港赛马会'],"['Beijing Olympics' 'Shanghai Expo' 'Universiade Shenzhen'
 'Hong Kong Jockey Club ']",-1,Geography / buildings / landmarks,Self,Self-research_only,CC BY-NC,image_61.jpg,"building, pillar, sea, pole, tower, rail, red, rocket, sculpture, sky, tube","In the image, there is a tall red pole with a spiral pattern on it, a white flag, and a person standing nearby. The pole appears to be a decorative structure, possibly related to a cultural event or celebration. The spiral pattern on the pole might be inspired by traditional Chinese art or architecture, such as the decorative patterns found on ancient pottery or the intricate designs on traditional Chinese buildings. The white flag in the image could symbolize purity, innocence, or peace, or represent a specific organization, country, or cause. The person standing near the pole and flag might be participating in the event or celebration, or simply observing the scene.",0.347900390625,0.2470703125,0.347900390625,0.266357421875,0.4153846153846154,27,0.3636363636363636,27
