Dataset,ImagePath,ImageFileName,Human1 Caption,Human2 Caption,Human3 Caption
CVQA,image_850.jpg,image_850.jpg,This image shows a city scene from a distant perspective. The picture contains modern high-rise buildings in the distance and the roofs of traditional Chinese buildings in the distance and the trees between the buildings.,"This photo shows the Forbidden City from the Beijing Central Business District, including the CITIC Tower and the roof of the Forbidden City. Beijing is the capital of China, carrying thousands of years of Chinese history and many cultural relics. The Beijing Central Business District is a concrete feature of Beijing as the modern Chinese capital and the economic center of the north, where many large enterprises, banks, and bond institutions are concentrated.","This image shows the long-range view of the China Zun Tower, a landmark building under construction in Beijing, China. China Zun Tower is one of the most representative skyscrapers in Beijing. In the picture, the modern building complex with China Zun Tower as the main structure in the distance and the ancient Chinese-style buildings in the near distance complement each other, reflecting the characteristics of the integration of history and modernity in Beijing."
CVQA,image_49.jpg,image_49.jpg,"This image shows the Potala Palace in Tibet, China. A magnificent palace sits on a high mountain with mountains and blue sky in the background","This picture shows the Potala Palace in Tibet, which is the most famous landmark in Tibet and marks its history. This palace was once the imperial palace of Tibet and a place of pilgrimage for many Tibetan believers. Even today, many Tibetan religious believers choose to go here regularly for pilgrimage. At the same time, it is also a famous tourist spot in contemporary China, and many people choose to come here to take pictures during holidays.",This photo was taken at the Potala Palace in Tibet. The Potala Palace is the most famous building in China's Tibet Autonomous Region and a sacred place for Tibetan Buddhism. It receives countless domestic and foreign tourists every year. It is also an important attraction that all tourists visiting Tibet cannot miss. The palace is located in the mountains of the Qinghai-Tibet Plateau and looks particularly magnificent against the backdrop of snow-capped mountains and blue sky.
CVQA,image_675.jpg,image_675.jpg,"This image shows a scene in an instrument practice room. The house is decorated in a traditional Chinese style, and there are traditional Chinese musical instruments such as guzheng and pipa playing, and there are also children. Looks like a place for children to practice musical instruments","This image shows a scene in an instrument practice room. The house is decorated in a traditional Chinese style, and there are traditional Chinese musical instruments such as guzheng and pipa playing, and there are also children. Looks like a place for children to practice musical instruments. ","This image shows four traditional Chinese musical instruments - the long and short guzheng, pipa and cucurbit flute. These four instruments are representatives of traditional Chinese folk instruments and are still popular in traditional Chinese musical instrument performances."
CVQA,image_864.jpg,image_864.jpg,"The image shows a pair of pink, gray, blue and white sneakers. The sneakers are branded Li-Ning, a Chinese brand named after a Chinese gymnast.","This picture shows Li Ning basketball shoes, with pink soles and brand logos. Li Ning is a famous Chinese local brand, and its founder is also named ""Li Ning"", a famous Chinese gymnast. Li Ning has not only won numerous awards in sports, but also achieved great success in business. The Li Ning brand has become one of the representative brands of Chinese sports, and Li Ning himself was a torchbearer who lit the main torch at the 2008 Beijing Olympic Games.","This image features a sneaker from Li Ning. The color scheme is mainly pink, white, and gray, and the upper is made of leather with a purple rubber outsole."
CVQA,image_615.jpg,image_615.jpg,"This picture shows a Chinese girl wearing white Hanfu sitting on a path beside a bamboo forest. The woman's clothing and hairstyle are both traditional Chinese. Bamboo is one of the four gentlemen of China, plum, orchid, bamboo and chrysanthemum (Mei Lan Zhu Ju), and symbolizes Qianxun, elegance and grace.","The picture shows a woman wearing ancient Chinese Hanfu squatting next to a bamboo forest. Bamboo forests are a common element in ancient Chinese calligraphy and paintings, and Hanfu is also a standard traditional Chinese clothing in ancient China.","This image shows a woman wearing Hanfu sitting next to a bamboo forest. This Hanfu has the characteristics of a typical wide robe and large sleeves. The main color is white, supplemented by a belt with red patterns, which makes it quite elegant."
CVQA,image_770.jpg,image_770.jpg,"The picture shows a traditional Chinese hot pot. There are mutton, peanuts, copper hot pot, and condiments such as chives, fermented bean curd, coriander, and sesame sauce. Copper hot pot is a traditional Chinese style hot pot, usually seen at gatherings with friends.","This picture shows a corner of a hot pot table with clear soup hot pot, beef rolls, peanuts, and several small plates on the table. The hotpot is one of the most famous Chinese traditional food, which origined from Sichuan province with a long history. There many kinds of food can be added into the hotpot, such as beef slices, duck meat, or rice noodles, and now many chinese people would like to join together and enjoy hotpot as a dinner to celebrate events or holidays.","This image features a scene of hot pot mutton. This is a famous Chinese delicacy that originated in Mongolia and is popular in Beijing. This way of eating requires people to light charcoal in a copper hot pot and cook the meat slices in the pot. This way of eating usually needs to be supplemented with the delicious soup in the pot, dipping sauces and side dishes. The picture shows common dipping sauces such as sesame paste and chives, as well as fried peanuts as a side dish"
CVQA,image_374.jpg,image_374.jpg,The picture shows a scene in a temple. There is a statue of Buddha on the way. Buddhism is believed to have been introduced to China from India and has many believers in China. The roof of the house is a traditional Chinese bracket structure.,"This image shows a Buddha statue looking up and a colorful ceiling. Buddhism is the belief of many Asian people, which origined from India, and spreaded to China in Tang Dynasty. People believe the Buddhism for getting blessed and luck. Many people would like to donate some money to a Buddha when they meet with troubles in their life.",This image shows a statue of Guanyin Bodhisattva in a temple. The golden statue is particularly bright set off by the colorful and carved temple roof.
CVQA,image_549.jpg,image_549.jpg,"The image shows a red and green metal machine with some patterns and valve handles, but it is difficult to tell what it is used for.","This image shows a rusted mechanical gear mechanism sitting on a wooden seat in front of a window. The hand-made products is well-developed from the antient China, which made many people become rich, and this image shows one of the antient product as an example.",Not idea what it is
CVQA,image_147.jpg,image_147.jpg,The picture shows three Asians practicing Tai Chi in an open space with a green area in the background. Tai Chi originated in China and is now often used as a gymnastics exercise for physical exercise. People often practice Tai Chi in parks and other places to cultivate their body and mind.,"This picture shows a group of Chinese Tai Chi enthusiasts, two women and one man, practicing Tai Chi in a park parking lot. People in China believe that this sport will help me be healthy. The Tai Chi has a long history, which can also be devided into many different style, some for increase immune system, some for fight in a war in antient.","This image shows middle-aged and elderly Chinese people performing exercises derived from Chinese kung fu in a park. This type of exercise is beneficial to maintaining and improving the body's strength and balance, and has the effect of strengthening the body. Among these types of exercises, Tai Chi is the most representative."
CVQA,image_413.jpg,image_413.jpg,"The picture shows a pony on a meadow. In many countries in Asia, there are nomadic people who raise horses and develop animal husbandry. Adult horses can also be used as a means of transportation for local people.","This image shows a small brown donkey trotting across a mowed meadow. The donkey has been a partner of Chinese people for thousands of years, which was always expected to help people work on farming, triping, and doing bussiness in the past. Donkeys also appear in the current China village frequently, and many people love it.","This image shows a young wild donkey, with brown and white fur, walking in a barren meadow."
CVQA,image_303.jpg,image_303.jpg,The picture shows a picnic scene. There is a simple charcoal stove with charcoal burning at the bottom and a metal mesh in the middle. There are roasted chestnuts and a porcelain pot on top. This porcelain pot has a filter and may have unique cultural characteristics and a unique design.,"The image shows a group of people sitting around a stove roasting chestnuts and drinking hot tea, and the entire image is presented from the perspective of one of the people staring at the stove. The tea culture is one of the most traditional Chinese culture from long time age. People grow tea leaf at south part of China most, and then sell it around the whole contry or even other countries. Tea has been a necessary drink in China, which has price varies a lot.","This image shows a picnic scene. People use charcoal to light a fire in a portable barbecue, roasting chestnuts and hot drinks on the grill."
CVQA,image_889.jpg,image_889.jpg,The picture shows a statue of Guanyin Bodhisattva in the South China Sea. This statue was built by the Chinese government in the South China Sea to express the local people's belief in Bodhisattva. People believe in Bodhisattva to seek peace and happiness.,"This picture shows a huge golden sculpture of Nanhai Guanyin, with some tourists taking photos with the sculpture. Guanyin's facial features are not present on the sculpture. The Guanyin is one of a god in the Chinese traditional story, meaning luck for the children's study. Therefore, many parents would like to see Guanyin and ask for a wish for their children.","This image shows the Nanhai Guanyin statue on Putuo Mountain in Zhoushan City, Zhejiang Province, China. Guanyin Bodhisattva has an important position in Chinese Buddhist culture and is one of the most worshipped gods and Buddhas by believers and the people. This statue is one of the most famous Guanyin statues in China. It is golden and shines brightly under the sun."
CVQA,image_737.jpg,image_737.jpg,"The picture shows a clay head. This is a very popular ceramic art in China, which uses clay to shape human faces. This person has an Asian face","This picture shows a clay sculpture of an Asian man's head and neck. The clay sculpture is about 45cm tall and was made in 1997 by Pan Junhong. The clay is a common material for making items and also sculpture, which were used to make decorations for a long time. There were also many bowls and plates made with clay in the antient of China. People would like to use caly to make items for luxary in the current time, which is a symbol of high-level taste now.",This image shows a clay sculpture of a young man's head. It is about 45cm tall and was made in 1997. The sculpture is reddish brown in color.
