Dataset,ImageFileName,Human1 Caption,Human2 Caption,Human3 Caption
CVQA,image_98.jpg,"The photo shows a character dressed as a GOAT. GOAT is a traditional Romanian custom present at the winter holidays. The person is dressed in traditional clothes: a national shirt or ie, white trousers called itari, woolen stockings and standing shoes. He has a woolen hat and a goat mask on his head. He also carries a reed and a staff. In the picture we also have a drum and a bell that are used in the goat dance. This is an old Romanian custom passed down from generation to generation.","The picture is taken at a museum, showcasing a winter tradition in Romania: ""Capra"" or goat’s dance. The dance is usually performed by a young man with a goat mask and a sheep skin on his back. The goat and his companions go from house to house, dancing at each door on New Year's Eve. The man in the picture is wearing traditional clothes: shoes called ""opinici"", a blouse called ""ie"", a wool vest called ""ilic"", and a mask. The mask and the goat are symbol of ritual dances, according to pagan customs, which in the past had the role of purification and fertility.","The image he is from a muse museum showing traditions from Romania. On the left, there is a costume that is traditionally used during the Christmas and New Year's celebrations. Groups of two or three people usually wear costume and go from house to house on New Year's Eve, carols and other traditional songs. Wow the museum, we see other pieces of traditional Romanian clothing. "
CVQA,image_244.jpg,"The picture is taken at a museum, showing three popular ports from different geographical areas of the country. The three mannequins show the popular clothing worn by Romanian women. They are dressed in war-woven kilts, which are fastened in the middle with a belt or hood. They have national shirts or ii. Around the neck they wear salves or beads. They have a veil or scarf on their head. This port is worn by women especially at cultural events, specific to Romanian popular music.","The picture is taken at a museum of traditional costumes in Romania. It presents three women's traditional attire composed of a white head a covering called ""năframă"", a blouse called ""ie"", a skirt called ""catrință"" and a belt called ""brâu"". The blouse, or ""ie"" is made of linen or cotton and has colorful embroidery. The traditional costumes vary per region in Romania, and based on the written description, these particular costumes are from Siret, Moldova region. ","These are three traditional Romanian costumes, worn by Romanian women during celebrations, such as weddings or Christmas or Easter. They also often wear these on Sunday when attending church. The costume consists of several pieces of clothing, including a blouse that manually sewed with traditional parents, a white skirt, and a covering that's made by hand again with traditional parents."
CVQA,image_273.jpg,"The picture shows some pieces of a traditional drum made at home by the peasants when slaughtering the pig. It represents the custom of the Romanian peasant that together with the slaughtering of the pig, which is done before Christmas, PIG ALMOST is given. Contains pork and bacon. It is one of the traditional Romanian dishes, made when cutting the pig.","The picture shows traditional Romanian food, sliced blood sausage or ""Sângerete"", a recipe popular in Transylvania.  It consists of a mixture of pork blood combined with ground pork meat, fat, and spices.  This recipe is tradtionaly eaten during Christmas.","This is a sausage that is traditionally made in Romania during Christmas. It is made out of pork meat, with a mix of liver and kidney and heart. What is the specific for this sausage is that it also has boiled blood, which gives it the red color. Because of it it is called ""singerete"" (""singe"" means blood in Romanian)"
CVQA,image_437.jpg,"It is the happy cemetery in Săpânta, Maramureș County. Characteristic of this cemetery are the brightly colored grave crosses and the paintings representing scenes from the life and occupation of the deceased. On some crosses there are verses with a humorous tone, hence the differentiation from popular culture, which does not consider death as a sad event. The crosses are colored in vivid colors. Blue predominates. The cheerful cemetery is considered a monument of folk art. It is visited by Romanians, but also by foreign tourists.","This picture is taken in ""Cimitirul Vesel"", or The Merry Cemetery in Romania. It shows brightly painted gravestones with darkly humorous stories and paintings depicting the lives of the people buried there. The Merry Cemetery is located in the village of Săpânța, Maramureș County in Romania.","This is a picture taken in the Merry Cemetery, a cemetery in a village in north Romania, known for the merry messages written on the tombs. The epitaph were all written by one of the people in the village, and describe the life of the person buried in an amusing way. All messages are written by hand on a blue background, which is what makes them easily recognizable in any picture. "
CVQA,image_859.jpg,"The picture shows the Romanian flag with the communist coat of arms cut out. It is the specific flag of the Revolution of 1989. In 1989, during the Timișoara Revolution, the coat of arms was cut from the flag, because it was considered a sign of communism. The Romanian flag, in its traditional colors - red, yellow and blue - represents the pride and unity of Romanians. It is a symbol of national unity. Every year, on June 26, Romanians celebrate National Flag Day.","The picture depicts a Romanian flag with a hole in the middle, which symbolizes the December 1989 Revolution. The original flag represented the Romanian Socialist Republic and had a communist emblem, symbolizing Nicolae Ceauşescu’s dictatorial regime. During the Revolution in December 1989, protesters tore a hole in the flag where the emblem was, turning it into a symbol of the Revolution.","The image includes several Romanian flags, some of them showing the impact of the Romanian revolution from 1989. The Romanian flag has three colors, red, yellow, and blue. The flag also used to have a symbol of communism in the middle of the flag, which was removed during the 1989 revolution — thus the hole in the middle of the flag in the picture."
CVQA,image_122.jpg,"It's the goat game of the New Year holidays. It is mostly played in the Moldavian area of ​​Romania. There are two children, one dressed as a goat, and the other urging the goat to play with folk cries. The goat has a longer coat made of brightly colored patches, blue and red, decorated with garlands. He has a mask on his head. The other boy is dressed in suman and has a lamb cap on his head. In his hand he has a bell and a wooden spoon. Both characters represent the popular tradition of Romanians during the winter holidays.","This image depicts ""Jocul Caprei"" or The Goat Dance in a Romanian village. The photo was taken at night near a house. In the picture, a boy is shown carrying a bell and a wooden spoon, wearing a traditional hat and a wool coat. Beside him, there is another boy dressed as a ""capra"" or a goat. The goat costume is colorful and includes a blanket and a wooden stick with a goat head attached. The goat head is made of two wooden parts that create noise when manipulated by the boy. The goat dances and makes noises as part of an old tradition. The goat dance symbolizes fertility and is performed from Christmas to New Year's.","This is the custom of ""Capra"" (The Goat), dance traditionally done on New Year's Eve, where a group of people dress up with the traditional costume shown in the picture, and walk from house to house and sing and dance. In return, they usually get cookies or candies, or more recently money."
CVQA,image_232.jpg,"A haystack on a snowy hill. Hay is food for cattle, sheep and horses in winter. The summit is partially covered with snow. Peasants prepare food for the animals for the winter already in the summer. The grass is cut with a scythe, left to dry, and then the haystack is made. This is an old custom of the Romanian peasants.","This picture shows a haystack on a snowy hill. The hay is piled up to preserve it for feeding domestic animals like horses, goats, sheep, and cows. Typically, this task is carried out by people living in the countryside to provide feed for their household animals.","This is a pile of hay, which is used to feed animals around the farm, such as cows, goats, or sheep. The hay is kept in place with the help of several sticks. There is also some snow on the hay. This seems to be on someone's property, as the pile of hay is behind a fence made of sticks."
CVQA,image_494.jpg,"The national poet Mihai Eminescu, born in Botoșani. Nicknamed the Light of Romanian poetry. Through his work, Eminescu is considered a phenomenon of Romanian culture. He valued the traditional values ​​of the Romanian people. In the old and wise language, the poet found particularly beautiful expressions that he will use in his poetic creation. Along with the experiences of childhood, there are the songs and the anxiety of the future poet-philosopher in knowing as much as possible of the secrets of nature and life. Full of patriotism but especially for his pure nationalism, in his work the poet shows his love for the tradition of the Romanian nation.","This is a picture of Mihai Eminescu, one of the greatest poet of Romania. He is regarded as the most famous and influential Romanian poet. His poems cover a wide range of themes, from nature and love to hate and social commentary. His childhood years were reflected in his later poetry with deep nostalgia. Eminescu's poems have been translated into over 60 languages. His life, work, and poetry strongly influenced Romanian culture, and his poems are widely studied in Romanian public schools.","This is a portrait of Mihail Eminescu, the most well-known Romanian poet. He wrote a large number of poems and other poetry, including the famous ""Luceafarul"" (The Northern Star). The portrait is from the time when Eminescu was very young. He unfortunately did not leave long, as he died in his 30s."
CVQA,image_411.jpg,"A plate with eggplant salad and an olive in the middle. On the edge it is decorated with slices of tomato and finely chopped onion. Eggplant salad is a popular dish in Romania. It is made according to different local recipes, which give the different taste and texture of the salad. The main ingredient is the bruise that is cooked on the grill or on the flame. After baking, finely chop and add oil. Mayonnaise can also be added. It is usually prepared during the summer when the eggplants are cooked, but also on different occasions.","This is a picture of a traditional dish in Romania called salata de vinete, or eggplant salad. It is made from grilled or roasted eggplants, oil, and mayonnaise. The salad goes well with tomatoes and onions, which are also served on the plate. This salad is a favorite among Romanians, especially during holidays.","One of the traditional -appetizers in Romania is made of eggplant, after it cooked on the oven. The skin of the eggplant is removed, and then the interior of the eggplant is mixed with salt and oil and sometimes onion. It's typically served with tomatoes, which are also shown on the plate, and optionally also with onion, which can be seen on the plate as well."
CVQA,image_44.jpg,"Two muffins and a tray of pasta. Products specific to the Easter holiday. Easter has raisins on top and a cross specific to the Romanian Easter holidays. They are placed on a popular Romanian wiper. Both products are made from high-quality white flour, the cake can be filled with walnut, poppy or shit. Easter is made with cheese before Easter, on the night of resurrection, these products are taken to the church for sanctification. It is eaten on Easter, after the end of the fast.","This is a picture of traditional Easter food in Romania. It shows two cozonaci and one pasca. Pasca is round and is often filled with cheese or sour cream and raisins. This Pasca has a cross symbol, as Easter is a religious holiday for Romanians, and this food is often taken to the church to be blessed. The cozonac is often filled with cocoa and Turkish delight. The food is placed on top of two traditional towels with red and white motifs. The picture was taken in a kitchen, most likely during Easter.","The image shows traditional Romanian food, including two sweet breads, and a cheese pie. The breads are made by hand, with flour, eggs, sugar, and also using yeast. The cheese pie appears to be an Easter tradition. The food is set on a traditional table, clothing with red patterns, sewed by hand."
